"Sep=;"
Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta";"Modelo Anclado";"Id Anclado"
1;1;2;002;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 77860113320711";;
1;1;2;003;00;00;Auxiliar;"Banco Occidente";;
1;1;2;003;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 217010454710";;
1;1;2;003;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 214300038685";;
1;1;2;003;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 217010529710";;
1;1;2;003;04;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 214300038685";;
1;1;2;004;00;00;Auxiliar;"BAC Credomatic";;
1;1;2;004;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 740518501";;
1;1;2;004;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 741833011";;
1;1;2;004;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 745979781";;
1;1;2;004;04;00;"Sub cuentas del Aux";"KM MOTO S. DE R.L DE C.V. (Lempiras) - 1487408";;
1;1;2;004;05;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 742478961";;
1;1;2;005;00;00;Auxiliar;"Tigo Money";;
1;1;2;005;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 3326-4857";;
1;1;2;005;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 9977-1867";;
1;1;2;005;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 9438-2083";;
1;1;2;006;00;00;Auxiliar;Banrural;;
1;1;2;006;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 34110087889";;
1;1;2;006;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 34110090023";;
1;1;2;006;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 8110520476";;
1;1;2;007;00;00;Auxiliar;Ficohsa;;
1;1;2;007;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 8371261";;
1;1;2;007;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 200015653147";;
1;1;2;007;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 200015380267";;
1;1;2;007;04;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 200013223636";;
1;1;2;007;05;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 200015653198";;
1;1;2;007;06;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Dolares) - 200015386494";;
1;1;2;008;00;00;Auxiliar;"Banco LAFISE";;
1;1;2;008;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 135504004105";;
1;1;2;008;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 135504004106";;
1;1;2;008;03;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Lempiras) - 135504004109";;
1;1;2;008;04;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 135604000308";;
1;1;2;008;05;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 135604000310";;
1;1;2;008;06;00;"Sub cuentas del Aux";"Osbin Josue Garrido Banegas (Dolares) - 135604000311";;
1;1;2;009;00;00;Auxiliar;DAVIVIENDA;;
1;1;2;009;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 1171181319";;
1;1;2;009;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 1171182803";;
1;1;2;009;03;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Dolares) - 1171182455";;
1;1;2;010;00;00;Auxiliar;"Banco CUSCATLAN";;
1;1;2;010;01;00;"Sub cuentas del Aux";"Osman Roberto Garrido Banegas (Lempiras) - 217050003746";;
1;1;2;011;00;00;Auxiliar;"Banco Promerica";;
1;1;2;011;01;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Lempiras) - 10000001422968";;
1;1;2;011;02;00;"Sub cuentas del Aux";"Rossy Marilin Cardenas Lopez (Dolares) - 20000001435581";;
1;1;3;000;00;00;"Cuenta Mayor";"cuentas por cobrar";;
1;1;3;001;00;00;Auxiliar;"Prestamos Capital Clientes C/P";;
